Window_Num,Num_Packets,Avg_Length,Num_Streams,Flag_Ack,Flag_Retransmission,Flag_Reset,Flag_Syn,Flag_Fin,Src_Port_Changed,Dst_Port_Changed,Attack
10611,3,66,1,1,0,0,0,0,0,0,0
10612,2,66,1,1,0,0,0,0,0,0,0
10613,2,66,1,1,0,0,0,0,0,0,0
10614,3,66,1,1,0,0,0,0,0,0,0
10615,2,66,1,1,0,0,0,0,0,0,0
10616,3,66,1,1,0,0,0,0,0,0,0
10617,3,66,1,1,0,0,0,0,0,0,0
10618,2,66,1,1,0,0,0,0,0,0,0
10619,3,66,1,1,0,0,0,0,0,0,0
10620,2,66,1,1,0,0,0,0,0,0,0
10621,2,66,1,1,0,0,0,0,0,0,0
10622,3,66,1,1,0,0,0,0,0,0,0
10623,2,66,1,1,0,0,0,0,0,0,0
10624,2,66,1,1,0,0,0,0,0,0,0
10625,3,66,1,1,0,0,0,0,0,0,0
10626,2,66,1,1,0,0,0,0,0,0,0
10627,3,66,1,1,0,0,0,0,0,0,0
10628,2,66,1,1,0,0,0,0,0,0,0
10629,3,66,1,1,0,0,0,0,0,0,0
10630,3,66,1,1,0,0,0,0,0,0,0
10631,2,66,1,1,0,0,0,0,0,0,0
10632,2,66,1,1,0,0,0,0,0,0,0
10633,3,66,1,1,0,0,0,0,0,0,0
10634,2,66,1,1,0,0,0,0,0,0,0
10635,2,66,1,1,0,0,0,0,0,0,0
10636,3,66,1,1,0,0,0,0,0,0,0
10637,2,66,1,1,0,0,0,0,0,0,0
10638,2,66,1,1,0,0,0,0,0,0,0
10639,3,66,1,1,0,0,0,0,0,0,0
10640,2,66,1,1,0,0,0,0,0,0,0
10641,3,66,1,1,0,0,0,0,0,0,0
10642,3,66,1,1,0,0,0,0,0,0,0
10643,2,66,1,1,0,0,0,0,0,0,0
10644,3,66,1,1,0,0,0,0,0,0,0
10645,2,66,1,1,0,0,0,0,0,0,0
10646,2,66,1,1,0,0,0,0,0,0,0
10647,3,66,1,1,0,0,0,0,0,0,0
10648,2,66,1,1,0,0,0,0,0,0,0
10649,3,66,1,1,0,0,0,0,0,0,0
10650,2,66,1,1,0,0,0,0,0,0,0
10651,2,66,1,1,0,0,0,0,0,0,0
10652,3,66,1,1,0,0,0,0,0,0,0
10653,2,66,1,1,0,0,0,0,0,0,0
10654,2,66,1,1,0,0,0,0,0,0,0
10655,4,66,1,1,0,0,0,0,0,0,0
10656,2,66,1,1,0,0,0,0,0,0,0
10657,2,66,1,1,0,0,0,0,0,0,0
10658,3,66,1,1,0,0,0,0,0,0,0
10659,2,66,1,1,0,0,0,0,0,0,0
10660,2,66,1,1,0,0,0,0,0,0,0
10661,3,66,1,1,0,0,0,0,0,0,0
10662,2,66,1,1,0,0,0,0,0,0,0
10663,2,66,1,1,0,0,0,0,0,0,0
10664,3,66,1,1,0,0,0,0,0,0,0
10665,2,66,1,1,0,0,0,0,0,0,0
10666,3,66,1,1,0,0,0,0,0,0,0
10667,2,66,1,1,0,0,0,0,0,0,0
10668,3,66,1,1,0,0,0,0,0,0,0
10669,3,66,1,1,0,0,0,0,0,0,0
10670,2,66,1,1,0,0,0,0,0,0,0
10671,2,66,1,1,0,0,0,0,0,0,0
10672,3,66,1,1,0,0,0,0,0,0,0
10673,2,66,1,1,0,0,0,0,0,0,0
10674,2,66,1,1,0,0,0,0,0,0,0
10675,3,66,1,1,0,0,0,0,0,0,0
10676,2,66,1,1,0,0,0,0,0,0,0
10677,2,66,1,1,0,0,0,0,0,0,0
10678,3,66,1,1,0,0,0,0,0,0,0
10679,2,66,1,1,0,0,0,0,0,0,0
10680,3,66,1,1,0,0,0,0,0,0,0
10681,3,66,1,1,0,0,0,0,0,0,0
10682,2,66,1,1,0,0,0,0,0,0,0
10683,3,66,1,1,0,0,0,0,0,0,0
10684,2,66,1,1,0,0,0,0,0,0,0
10685,2,66,1,1,0,0,0,0,0,0,0
10686,3,66,1,1,0,0,0,0,0,0,0
10687,2,66,1,1,0,0,0,0,0,0,0
10688,2,66,1,1,0,0,0,0,0,0,0
10689,3,66,1,1,0,0,0,0,0,0,0
10690,2,66,1,1,0,0,0,0,0,0,0
10691,2,66,1,1,0,0,0,0,0,0,0
10692,3,66,1,1,0,0,0,0,0,0,0
10693,3,66,1,1,0,0,0,0,0,0,0
10694,2,66,1,1,0,0,0,0,0,0,0
10695,3,66,1,1,0,0,0,0,0,0,0
10696,2,66,1,1,0,0,0,0,0,0,0
10697,3,66,1,1,0,0,0,0,0,0,0
10698,2,66,1,1,0,0,0,0,0,0,0
10699,2,66,1,1,0,0,0,0,0,0,0
10700,3,66,1,1,0,0,0,0,0,0,0
10701,2,66,1,1,0,0,0,0,0,0,0
10702,2,66,1,1,0,0,0,0,0,0,0
10703,3,66,1,1,0,0,0,0,0,0,0
10704,2,66,1,1,0,0,0,0,0,0,0
10705,2,66,1,1,0,0,0,0,0,0,0
10706,4,66,1,1,0,0,0,0,0,0,0
10707,2,66,1,1,0,0,0,0,0,0,0
10708,2,66,1,1,0,0,0,0,0,0,0
10709,3,66,1,1,0,0,0,0,0,0,0
10710,2,66,1,1,0,0,0,0,0,0,0
10711,3,66,1,1,0,0,0,0,0,0,0
10712,2,66,1,1,0,0,0,0,0,0,0
10713,2,66,1,1,0,0,0,0,0,0,0
10714,3,66,1,1,0,0,0,0,0,0,0
10715,2,66,1,1,0,0,0,0,0,0,0
10716,2,66,1,1,0,0,0,0,0,0,0
10717,3,66,1,1,0,0,0,0,0,0,0
10718,2,66,1,1,0,0,0,0,0,0,0
10719,3,66,1,1,0,0,0,0,0,0,0
10720,3,66,1,1,0,0,0,0,0,0,0
10721,2,66,1,1,0,0,0,0,0,0,0
10722,3,66,1,1,0,0,0,0,0,0,0
10723,2,66,1,1,0,0,0,0,0,0,0
10724,2,66,1,1,0,0,0,0,0,0,0
10725,3,66,1,1,0,0,0,0,0,0,0
10726,2,66,1,1,0,0,0,0,0,0,0
10727,2,66,1,1,0,0,0,0,0,0,0
10728,3,66,1,1,0,0,0,0,0,0,0
10729,2,66,1,1,0,0,0,0,0,0,0
10730,2,66,1,1,0,0,0,0,0,0,0
10731,3,66,1,1,0,0,0,0,0,0,0
10732,3,66,1,1,0,0,0,0,0,0,0
10733,2,66,1,1,0,0,0,0,0,0,0
10734,3,66,1,1,0,0,0,0,0,0,0
10735,2,66,1,1,0,0,0,0,0,0,0
10736,3,66,1,1,0,0,0,0,0,0,0
10737,2,66,1,1,0,0,0,0,0,0,0
10738,2,66,1,1,0,0,0,0,0,0,0
10739,3,66,1,1,0,0,0,0,0,0,0
10740,2,66,1,1,0,0,0,0,0,0,0
10741,2,66,1,1,0,0,0,0,0,0,0
10742,3,66,1,1,0,0,0,0,0,0,0
10743,2,66,1,1,0,0,0,0,0,0,0
10744,2,66,1,1,0,0,0,0,0,0,0
10745,4,66,1,1,0,0,0,0,0,0,0
10746,2,66,1,1,0,0,0,0,0,0,0
10747,2,66,1,1,0,0,0,0,0,0,0
10748,3,66,1,1,0,0,0,0,0,0,0
10749,2,66,1,1,0,0,0,0,0,0,0
10750,3,66,1,1,0,0,0,0,0,0,0
10751,2,66,1,1,0,0,0,0,0,0,0
10752,2,66,1,1,0,0,0,0,0,0,0
10753,3,66,1,1,0,0,0,0,0,0,0
10754,2,66,1,1,0,0,0,0,0,0,0
10755,2,66,1,1,0,0,0,0,0,0,0
10756,3,66,1,1,0,0,0,0,0,0,0
10757,3,66,1,1,0,0,0,0,0,0,0
10758,3,66,1,1,0,0,0,0,0,0,0
10759,2,66,1,1,0,0,0,0,0,0,0
10760,2,66,1,1,0,0,0,0,0,0,0
10761,3,66,1,1,0,0,0,0,0,0,0
10762,2,66,1,1,0,0,0,0,0,0,0
10763,2,66,1,1,0,0,0,0,0,0,0
10764,3,66,1,1,0,0,0,0,0,0,0
10765,2,66,1,1,0,0,0,0,0,0,0
10766,2,66,1,1,0,0,0,0,0,0,0
10767,3,66,1,1,0,0,0,0,0,0,0
10768,2,66,1,1,0,0,0,0,0,0,0
10769,2,66,1,1,0,0,0,0,0,0,0
10770,4,66,1,1,0,0,0,0,0,0,0
10771,2,66,1,1,0,0,0,0,0,0,0
10772,3,66,1,1,0,0,0,0,0,0,0
10773,2,66,1,1,0,0,0,0,0,0,0
10774,2,66,1,1,0,0,0,0,0,0,0
10775,3,66,1,1,0,0,0,0,0,0,0
10776,2,66,1,1,0,0,0,0,0,0,0
10777,2,66,1,1,0,0,0,0,0,0,0
10778,3,66,1,1,0,0,0,0,0,0,0
10779,2,66,1,1,0,0,0,0,0,0,0
10780,2,66,1,1,0,0,0,0,0,0,0
10781,3,66,1,1,0,0,0,0,0,0,0
10782,2,66,1,1,0,0,0,0,0,0,0
10783,3,66,1,1,0,0,0,0,0,0,0
10784,3,66,1,1,0,0,0,0,0,0,0
10785,2,66,1,1,0,0,0,0,0,0,0
10786,2,66,1,1,0,0,0,0,0,0,0
10787,3,66,1,1,0,0,0,0,0,0,0
10788,2,66,1,1,0,0,0,0,0,0,0
10789,2,66,1,1,0,0,0,0,0,0,0
10790,3,66,1,1,0,0,0,0,0,0,0
10791,2,66,1,1,0,0,0,0,0,0,0
10792,3,66,1,1,0,0,0,0,0,0,0
10793,2,66,1,1,0,0,0,0,0,0,0
10794,2,66,1,1,0,0,0,0,0,0,0
10795,3,66,1,1,0,0,0,0,0,0,0
10796,3,66,1,1,0,0,0,0,0,0,0
10797,2,66,1,1,0,0,0,0,0,0,0
10798,3,66,1,1,0,0,0,0,0,0,0
10799,2,66,1,1,0,0,0,0,0,0,0
10800,2,66,1,1,0,0,0,0,0,0,0
10801,3,66,1,1,0,0,0,0,0,0,0
10802,2,66,1,1,0,0,0,0,0,0,0
10803,3,66,1,1,0,0,0,0,0,0,0
10804,2,66,1,1,0,0,0,0,0,0,0
10805,4,66,1,1,0,0,0,0,0,0,0
10806,3,66,1,1,0,0,0,0,0,0,0
10807,2,66,1,1,0,0,0,0,0,0,0
10808,2,66,1,1,0,0,0,0,0,0,0
10809,4,66,1,1,0,0,0,0,0,0,0
10810,2,66,1,1,0,0,0,0,0,0,0
10811,2,66,1,1,0,0,0,0,0,0,0
10812,3,66,1,1,0,0,0,0,0,0,0
10813,2,66,1,1,0,0,0,0,0,0,0
10814,2,66,1,1,0,0,0,0,0,0,0
10815,3,66,1,1,0,0,0,0,0,0,0
10816,2,66,1,1,0,0,0,0,0,0,0
10817,3,66,1,1,0,0,0,0,0,0,0
10818,2,66,1,1,0,0,0,0,0,0,0
10819,2,66,1,1,0,0,0,0,0,0,0
10820,3,66,1,1,0,0,0,0,0,0,0
10821,2,66,1,1,0,0,0,0,0,0,0
10822,3,66,1,1,0,0,0,0,0,0,0
10823,3,66,1,1,0,0,0,0,0,0,0
10824,2,66,1,1,0,0,0,0,0,0,0
10825,3,66,1,1,0,0,0,0,0,0,0
10826,2,66,1,1,0,0,0,0,0,0,0
10827,2,66,1,1,0,0,0,0,0,0,0
10828,3,66,1,1,0,0,0,0,0,0,0
10829,2,66,1,1,0,0,0,0,0,0,0
10830,2,66,1,1,0,0,0,0,0,0,0
10831,3,66,1,1,0,0,0,0,0,0,0
10832,2,66,1,1,0,0,0,0,0,0,0
10833,2,66,1,1,0,0,0,0,0,0,0
10834,3,66,1,1,0,0,0,0,0,0,0
10835,2,66,1,1,0,0,0,0,0,0,0
10836,2,66,1,1,0,0,0,0,0,0,0
10837,3,66,1,1,0,0,0,0,0,0,0
10838,2,66,1,1,0,0,0,0,0,0,0
10839,2,66,1,1,0,0,0,0,0,0,0
10840,3,66,1,1,0,0,0,0,0,0,0
10841,3,66,1,1,0,0,0,0,0,0,0
10842,2,66,1,1,0,0,0,0,0,0,0
10843,3,66,1,1,0,0,0,0,0,0,0
10844,2,66,1,1,0,0,0,0,0,0,0
10845,2,66,1,1,0,0,0,0,0,0,0
10846,3,66,1,1,0,0,0,0,0,0,0
10847,2,66,1,1,0,0,0,0,0,0,0
10848,3,66,1,1,0,0,0,0,0,0,0
10849,2,66,1,1,0,0,0,0,0,0,0
10850,2,66,1,1,0,0,0,0,0,0,0
10851,3,66,1,1,0,0,0,0,0,0,0
10852,2,66,1,1,0,0,0,0,0,0,0
10853,2,66,1,1,0,0,0,0,0,0,0
10854,4,66,1,1,0,0,0,0,0,0,0
10855,2,66,1,1,0,0,0,0,0,0,0
10856,2,66,1,1,0,0,0,0,0,0,0
10857,3,66,1,1,0,0,0,0,0,0,0
10858,2,66,1,1,0,0,0,0,0,0,0
10859,2,66,1,1,0,0,0,0,0,0,0
10860,3,66,1,1,0,0,0,0,0,0,0
10861,2,66,1,1,0,0,0,0,0,0,0
10862,2,66,1,1,0,0,0,0,0,0,0
10863,3,66,1,1,0,0,0,0,0,0,0
10864,2,66,1,1,0,0,0,0,0,0,0
10865,2,66,1,1,0,0,0,0,0,0,0
10866,3,66,1,1,0,0,0,0,0,0,0
10867,3,66,1,1,0,0,0,0,0,0,0
10868,3,66,1,1,0,0,0,0,0,0,0
10869,2,66,1,1,0,0,0,0,0,0,0
10870,2,66,1,1,0,0,0,0,0,0,0
10871,3,66,1,1,0,0,0,0,0,0,0
10872,2,66,1,1,0,0,0,0,0,0,0
10873,2,66,1,1,0,0,0,0,0,0,0
10874,10,76.4,2,1,1,0,1,0,1,0,1
10875,4,78,2,1,1,0,0,1,1,0,1
10876,1,90,1,1,1,0,0,0,0,0,1
10877,1,90,1,1,1,0,0,0,0,0,1
10878,1,90,1,1,1,0,0,0,0,0,1
10879,4,74,2,1,1,0,1,0,1,0,1
10880,1,66,1,1,0,0,0,0,0,0,0
10881,2,66,1,1,0,0,0,0,0,0,0
10882,2,66,1,1,0,0,0,0,0,0,0
10883,2,66,1,1,0,0,0,0,0,0,0
10884,3,66,1,1,0,0,0,0,0,0,0
10885,2,66,1,1,0,0,0,0,0,0,0
10886,2,66,1,1,0,0,0,0,0,0,0
10887,4,66,1,1,0,0,0,0,0,0,0
10888,2,66,1,1,0,0,0,0,0,0,0
10889,3,66,1,1,0,0,0,0,0,0,0
10890,2,66,1,1,0,0,0,0,0,0,0
10891,2,66,1,1,0,0,0,0,0,0,0
10892,3,66,1,1,0,0,0,0,0,0,0
10893,2,66,1,1,0,0,0,0,0,0,0
10894,2,66,1,1,0,0,0,0,0,0,0
10895,3,66,1,1,0,0,0,0,0,0,0
10896,2,66,1,1,0,0,0,0,0,0,0
10897,2,66,1,1,0,0,0,0,0,0,0
10898,3,66,1,1,0,0,0,0,0,0,0
10899,2,66,1,1,0,0,0,0,0,0,0
10900,3,66,1,1,0,0,0,0,0,0,0
10901,3,66,1,1,0,0,0,0,0,0,0
10902,2,66,1,1,0,0,0,0,0,0,0
10903,3,66,1,1,0,0,0,0,0,0,0
10904,2,66,1,1,0,0,0,0,0,0,0
10905,2,66,1,1,0,0,0,0,0,0,0
10906,3,66,1,1,0,0,0,0,0,0,0
10907,2,66,1,1,0,0,0,0,0,0,0
10908,2,66,1,1,0,0,0,0,0,0,0
10909,3,66,1,1,0,0,0,0,0,0,0
10910,2,66,1,1,0,0,0,0,0,0,0
10911,2,66,1,1,0,0,0,0,0,0,0
10912,3,66,1,1,0,0,0,0,0,0,0
10913,2,66,1,1,0,0,0,0,0,0,0
10914,3,66,1,1,0,0,0,0,0,0,0
10915,3,66,1,1,0,0,0,0,0,0,0
10916,2,66,1,1,0,0,0,0,0,0,0
10917,2,66,1,1,0,0,0,0,0,0,0
10918,3,66,1,1,0,0,0,0,0,0,0
10919,2,66,1,1,0,0,0,0,0,0,0
10920,2,66,1,1,0,0,0,0,0,0,0
10921,3,66,1,1,0,0,0,0,0,0,0
10922,2,66,1,1,0,0,0,0,0,0,0
10923,3,66,1,1,0,0,0,0,0,0,0
10924,2,66,1,1,0,0,0,0,0,0,0
10925,2,66,1,1,0,0,0,0,0,0,0
10926,3,66,1,1,0,0,0,0,0,0,0
10927,3,66,1,1,0,0,0,0,0,0,0
10928,2,66,1,1,0,0,0,0,0,0,0
10929,3,66,1,1,0,0,0,0,0,0,0
10930,2,66,1,1,0,0,0,0,0,0,0
10931,2,66,1,1,0,0,0,0,0,0,0
10932,3,66,1,1,0,0,0,0,0,0,0
10933,2,66,1,1,0,0,0,0,0,0,0
10934,3,66,1,1,0,0,0,0,0,0,0
10935,2,66,1,1,0,0,0,0,0,0,0
10936,4,66,1,1,0,0,0,0,0,0,0
10937,3,66,1,1,0,0,0,0,0,0,0
10938,2,66,1,1,0,0,0,0,0,0,0
10939,2,66,1,1,0,0,0,0,0,0,0
10940,4,66,1,1,0,0,0,0,0,0,0