Window_Num,Num_Packets,Avg_Length,IP_Port_Src,IP_Port_Dst,Num_Streams,Flags
9737,2,66.0,['127.0.0.1:49127'],['127.0.0.1:20000'],1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
9738,2,66.0,['127.0.0.1:49127'],['127.0.0.1:20000'],1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
9739,3,66.0,['127.0.0.1:49127'],['127.0.0.1:20000'],1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
9740,2,66.0,['127.0.0.1:49127'],['127.0.0.1:20000'],1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
9741,2,66.0,['127.0.0.1:49127'],['127.0.0.1:20000'],1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
9742,3,66.0,['127.0.0.1:49127'],['127.0.0.1:20000'],1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
9743,2,66.0,['127.0.0.1:49127'],['127.0.0.1:20000'],1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
9744,2,66.0,['127.0.0.1:49127'],['127.0.0.1:20000'],1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
9745,4,66.0,['127.0.0.1:49127'],['127.0.0.1:20000'],1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
9746,2,66.0,['127.0.0.1:49127'],['127.0.0.1:20000'],1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
9747,2,66.0,['127.0.0.1:49127'],['127.0.0.1:20000'],1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
9748,3,66.0,['127.0.0.1:49127'],['127.0.0.1:20000'],1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
9749,2,66.0,['127.0.0.1:49127'],['127.0.0.1:20000'],1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
9750,2,66.0,['127.0.0.1:49127'],['127.0.0.1:20000'],1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
9751,3,66.0,['127.0.0.1:49127'],['127.0.0.1:20000'],1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
9752,2,66.0,['127.0.0.1:49127'],['127.0.0.1:20000'],1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
9753,4,65.0,"['127.0.0.1:40674', '127.0.0.1:8443', '127.0.0.1:49127']","['127.0.0.1:20000', '127.0.0.1:8443', '127.0.0.1:40674']",2,"[0, 0, 0, 0, 0, 1, 0, 1, 1, 0]"
9754,5,65.2,"['127.0.0.1:40678', '127.0.0.1:8443', '127.0.0.1:49127']","['127.0.0.1:20000', '127.0.0.1:40678', '127.0.0.1:8443']",2,"[0, 0, 0, 0, 0, 1, 0, 1, 1, 0]"
9755,2,66.0,['127.0.0.1:49127'],['127.0.0.1:20000'],1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
9756,2,66.0,['127.0.0.1:49127'],['127.0.0.1:20000'],1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
9757,2,66.0,['127.0.0.1:49127'],['127.0.0.1:20000'],1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
9758,4,66.0,['127.0.0.1:49127'],['127.0.0.1:20000'],1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
9759,2,66.0,['127.0.0.1:49127'],['127.0.0.1:20000'],1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
9760,2,66.0,['127.0.0.1:49127'],['127.0.0.1:20000'],1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
9761,3,66.0,['127.0.0.1:49127'],['127.0.0.1:20000'],1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
9762,2,66.0,['127.0.0.1:49127'],['127.0.0.1:20000'],1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
9763,2,66.0,['127.0.0.1:49127'],['127.0.0.1:20000'],1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
9764,3,66.0,['127.0.0.1:49127'],['127.0.0.1:20000'],1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
9765,2,66.0,['127.0.0.1:49127'],['127.0.0.1:20000'],1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
9766,2,66.0,['127.0.0.1:49127'],['127.0.0.1:20000'],1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
9767,3,66.0,['127.0.0.1:49127'],['127.0.0.1:20000'],1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
9768,2,66.0,['127.0.0.1:49127'],['127.0.0.1:20000'],1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
9769,2,66.0,['127.0.0.1:49127'],['127.0.0.1:20000'],1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
9770,3,66.0,['127.0.0.1:49127'],['127.0.0.1:20000'],1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
9771,3,66.0,['127.0.0.1:49127'],['127.0.0.1:20000'],1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
9772,2,66.0,['127.0.0.1:49127'],['127.0.0.1:20000'],1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
9773,3,66.0,['127.0.0.1:49127'],['127.0.0.1:20000'],1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
9774,2,66.0,['127.0.0.1:49127'],['127.0.0.1:20000'],1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
9775,2,66.0,['127.0.0.1:49127'],['127.0.0.1:20000'],1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
9776,7,64.86,"['127.0.0.1:36962', '127.0.0.1:8443', '127.0.0.1:36956', '127.0.0.1:49127']","['127.0.0.1:20000', '127.0.0.1:8443', '127.0.0.1:36956', '127.0.0.1:36962']",3,"[0, 0, 0, 0, 0, 1, 0, 1, 1, 0]"
9777,2,66.0,['127.0.0.1:49127'],['127.0.0.1:20000'],1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
9778,2,66.0,['127.0.0.1:49127'],['127.0.0.1:20000'],1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
9779,3,66.0,['127.0.0.1:49127'],['127.0.0.1:20000'],1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
9780,2,66.0,['127.0.0.1:49127'],['127.0.0.1:20000'],1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
9781,2,66.0,['127.0.0.1:49127'],['127.0.0.1:20000'],1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
9782,3,66.0,['127.0.0.1:49127'],['127.0.0.1:20000'],1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
9783,2,66.0,['127.0.0.1:49127'],['127.0.0.1:20000'],1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
9784,3,66.0,['127.0.0.1:49127'],['127.0.0.1:20000'],1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
9785,3,66.0,['127.0.0.1:49127'],['127.0.0.1:20000'],1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
9786,2,66.0,['127.0.0.1:49127'],['127.0.0.1:20000'],1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
9787,2,66.0,['127.0.0.1:49127'],['127.0.0.1:20000'],1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
9788,3,66.0,['127.0.0.1:49127'],['127.0.0.1:20000'],1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
9789,2,66.0,['127.0.0.1:49127'],['127.0.0.1:20000'],1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
9790,2,66.0,['127.0.0.1:49127'],['127.0.0.1:20000'],1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
9791,3,66.0,['127.0.0.1:49127'],['127.0.0.1:20000'],1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
9792,2,66.0,['127.0.0.1:49127'],['127.0.0.1:20000'],1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
9793,2,66.0,['127.0.0.1:49127'],['127.0.0.1:20000'],1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
9794,3,66.0,['127.0.0.1:49127'],['127.0.0.1:20000'],1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
9795,2,66.0,['127.0.0.1:49127'],['127.0.0.1:20000'],1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
9796,2,66.0,['127.0.0.1:49127'],['127.0.0.1:20000'],1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
9797,4,66.0,['127.0.0.1:49127'],['127.0.0.1:20000'],1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
9798,2,66.0,['127.0.0.1:49127'],['127.0.0.1:20000'],1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
9799,2,66.0,['127.0.0.1:49127'],['127.0.0.1:20000'],1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
9800,3,66.0,['127.0.0.1:49127'],['127.0.0.1:20000'],1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
9801,2,66.0,['127.0.0.1:49127'],['127.0.0.1:20000'],1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
9802,2,66.0,['127.0.0.1:49127'],['127.0.0.1:20000'],1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
9803,3,66.0,['127.0.0.1:49127'],['127.0.0.1:20000'],1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
9804,2,66.0,['127.0.0.1:49127'],['127.0.0.1:20000'],1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
9805,2,66.0,['127.0.0.1:49127'],['127.0.0.1:20000'],1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
9806,3,66.0,['127.0.0.1:49127'],['127.0.0.1:20000'],1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
9807,2,66.0,['127.0.0.1:49127'],['127.0.0.1:20000'],1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
9808,2,66.0,['127.0.0.1:49127'],['127.0.0.1:20000'],1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
9809,3,66.0,['127.0.0.1:49127'],['127.0.0.1:20000'],1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
9810,3,66.0,['127.0.0.1:49127'],['127.0.0.1:20000'],1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
9811,2,66.0,['127.0.0.1:49127'],['127.0.0.1:20000'],1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
9812,3,66.0,['127.0.0.1:49127'],['127.0.0.1:20000'],1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
9813,4,65.0,"['127.0.0.1:52062', '127.0.0.1:8443', '127.0.0.1:49127']","['127.0.0.1:20000', '127.0.0.1:52062', '127.0.0.1:8443']",2,"[0, 0, 0, 0, 0, 1, 0, 1, 1, 0]"
9814,4,65.0,"['127.0.0.1:8443', '127.0.0.1:52070', '127.0.0.1:49127']","['127.0.0.1:20000', '127.0.0.1:8443', '127.0.0.1:52070']",2,"[0, 0, 0, 0, 0, 1, 0, 1, 1, 0]"
9815,3,66.0,['127.0.0.1:49127'],['127.0.0.1:20000'],1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
9816,2,66.0,['127.0.0.1:49127'],['127.0.0.1:20000'],1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
9817,2,66.0,['127.0.0.1:49127'],['127.0.0.1:20000'],1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
9818,3,66.0,['127.0.0.1:49127'],['127.0.0.1:20000'],1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
9819,2,66.0,['127.0.0.1:49127'],['127.0.0.1:20000'],1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
9820,2,66.0,['127.0.0.1:49127'],['127.0.0.1:20000'],1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
9821,3,66.0,['127.0.0.1:49127'],['127.0.0.1:20000'],1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
9822,3,66.0,['127.0.0.1:49127'],['127.0.0.1:20000'],1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
9823,2,66.0,['127.0.0.1:49127'],['127.0.0.1:20000'],1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
9824,3,66.0,['127.0.0.1:49127'],['127.0.0.1:20000'],1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
9825,2,66.0,['127.0.0.1:49127'],['127.0.0.1:20000'],1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
9826,2,66.0,['127.0.0.1:49127'],['127.0.0.1:20000'],1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
9827,3,66.0,['127.0.0.1:49127'],['127.0.0.1:20000'],1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
9828,2,66.0,['127.0.0.1:49127'],['127.0.0.1:20000'],1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
9829,2,66.0,['127.0.0.1:49127'],['127.0.0.1:20000'],1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
9830,3,66.0,['127.0.0.1:49127'],['127.0.0.1:20000'],1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
9831,2,66.0,['127.0.0.1:49127'],['127.0.0.1:20000'],1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
9832,2,66.0,['127.0.0.1:49127'],['127.0.0.1:20000'],1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
9833,3,66.0,['127.0.0.1:49127'],['127.0.0.1:20000'],1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
9834,2,66.0,['127.0.0.1:49127'],['127.0.0.1:20000'],1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
9835,3,66.0,['127.0.0.1:49127'],['127.0.0.1:20000'],1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
9836,7,64.86,"['127.0.0.1:35096', '127.0.0.1:8443', '127.0.0.1:35086', '127.0.0.1:49127']","['127.0.0.1:20000', '127.0.0.1:35096', '127.0.0.1:8443', '127.0.0.1:35086']",3,"[0, 0, 0, 0, 0, 1, 0, 1, 1, 0]"
9837,2,66.0,['127.0.0.1:49127'],['127.0.0.1:20000'],1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
9838,2,66.0,['127.0.0.1:49127'],['127.0.0.1:20000'],1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
9839,3,66.0,['127.0.0.1:49127'],['127.0.0.1:20000'],1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
9840,2,66.0,['127.0.0.1:49127'],['127.0.0.1:20000'],1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
9841,2,66.0,['127.0.0.1:49127'],['127.0.0.1:20000'],1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
9842,2,66.0,['127.0.0.1:49127'],['127.0.0.1:20000'],1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
9843,3,66.0,['127.0.0.1:49127'],['127.0.0.1:20000'],1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
9844,2,66.0,['127.0.0.1:49127'],['127.0.0.1:20000'],1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
